cedula,fechaingresoEmpresa,titulo,empresa,tarjetaCredito,nombre,apellido,direccion,correo_electronico,fecha_nacimiento,edad,provinciaNacimiento,genero,marca_tarjetaCredito,salarioAnual
0143821276,1999-03-04,Doctor/a,Soluciones Integrales,9580-5678-7387-4353,Marc,Cox,"8047 Anthony Squares
South Karinafurt, IA 50283",heatherdoyle@example.net,1982-09-01,41,Azuay,Masculino,Marca no conocida,43000
0146151232,2009-04-05,Arquitecto/a,Grupo TecnolÃ³gico,7151-4050-7283-7190,Curtis,Robles,"201 Rachel Mews
Justinfort, WI 14429",jcruz@example.com,1987-09-11,36,Azuay,Masculino,Marca no conocida,29000
0148285156,2008-02-12,Arquitecto/a,Grupo TecnolÃ³gico,5994-9551-9601-4890,John,Martinez,"PSC 1179, Box 7136
APO AE 15518",gayers@example.com,1976-06-12,47,Azuay,Masculino,Marca no conocida,29000
0155225822,1966-12-11,Doctor/a,Sistemas Avanzados,1936-1727-1945-9727,Clinton,Rivera,"4096 Jason Crossroad Suite 801
New Kyle, OR 49456",ahorton@example.org,1980-05-23,43,Azuay,Masculino,Marca no conocida,52000
0155387331,1961-12-17,Arquitecto/a,Sistemas Avanzados,1457-2172-1357-6794,Patricia,Dunlap,"43546 Charles Stravenue Apt. 714
North Alexahaven, VA 70035",ramirezashley@example.net,1971-03-27,53,Azuay,Femenino,Marca no conocida,27000
0156539682,1993-07-07,Arquitecto/a,Soluciones Integrales,5851-1545-4031-1336,Michael,Hunt,"43900 James Heights
Donaldberg, DE 33816",billydavis@example.org,1985-10-10,38,Azuay,Masculino,Marca no conocida,28000
0157879952,2019-05-26,Ingeniero/a,Soluciones Integrales,4595-5070-3400-9686,Sarah,Parks,"39079 Garcia Ranch Suite 626
South Angela, PR 56822",claysarah@example.net,1975-11-04,48,Azuay,Femenino,Visa,33000
0160079702,1988-03-28,Ingeniero/a,Desarrollos Innovadores,3007-5194-9566-7101,Melissa,Shields,"788 Kenneth Bridge Apt. 130
Deborahchester, PW 80677",ebonylowery@example.com,1983-10-25,40,Azuay,Femenino,Marca no conocida,31000
0160342407,2000-01-04,Arquitecto/a,Sistemas Avanzados,4063-2456-2965-9981,Kyle,King,"7028 Castaneda Mission
South Kendra, OH 46038",gina31@example.org,1989-01-19,35,Azuay,Femenino,Visa,25000
0166035534,1999-04-05,Arquitecto/a,Sistemas Avanzados,7007-3072-5688-3489,Thomas,Patrick,"549 Mitchell Alley
New Christopher, MD 91339",beckyyoung@example.com,1977-05-17,47,Azuay,Masculino,Marca no conocida,25000
0169925839,1989-10-09,Licenciado/a,Desarrollos Innovadores,3833-4077-0599-3718,Jesse,Robles,"919 Isaac Fall Apt. 102
Chavezside, OH 63334",vazquezriley@example.org,1978-11-08,45,Azuay,Masculino,Marca no conocida,25000
0170130798,1970-03-30,Doctor/a,Sistemas Avanzados,9049-4253-6677-8328,Kevin,Jones,"732 John Lights
Connerton, MH 77976",vcollins@example.net,1973-10-27,50,Azuay,Masculino,Marca no conocida,47000
0171996647,1973-03-28,Licenciado/a,Desarrollos Innovadores,5063-5159-7029-5884,Stephanie,Hughes,"77160 Patty Square
North Amanda, AL 03836",christopher11@example.com,1980-01-05,44,Azuay,Femenino,Marca no conocida,24000
0173183954,2006-01-05,Licenciado/a,Sistemas Avanzados,0544-4409-6466-7270,Tara,Rodriguez,"USCGC Richardson
FPO AA 31417",uhale@example.net,1983-12-29,40,Azuay,Femenino,Marca no conocida,20000
0173235700,1984-07-01,Doctor/a,Desarrollos Innovadores,4425-2027-4666-3998,Amanda,Rose,"12729 Andrea Roads
East Raymond, NY 05402",jcox@example.net,1981-12-08,42,Azuay,Femenino,Visa,41000
0173786961,1997-08-11,Doctor/a,Soluciones Integrales,5043-7820-9435-8315,David,Chang,"92585 Raymond Pine
North Robert, KS 06830",christinaavila@example.org,1971-05-03,53,Azuay,Masculino,Marca no conocida,39000
0175221851,1968-08-21,Arquitecto/a,Desarrollos Innovadores,3586-9001-1947-9059,Gregory,Turner,"766 Jessica Via
Robinsonhaven, NJ 41562",gbaker@example.com,1985-05-11,39,Azuay,Masculino,Marca no conocida,29000
0176201279,1960-08-13,Licenciado/a,Desarrollos Innovadores,2258-7017-3177-9321,Brianna,Hall,"Unit 0206 Box 1279
DPO AA 39920",montoyaanthony@example.net,1972-09-24,51,Azuay,Femenino,Marca no conocida,20000
0180898193,1966-04-14,Licenciado/a,Sistemas Avanzados,1735-0318-6675-0088,Mark,Brown,"099 Bright Extension Apt. 790
Lake Jesse, NV 98749",crystaldavid@example.com,1982-01-14,42,Azuay,Masculino,Marca no conocida,21000
0181930422,2009-02-12,Doctor/a,Sistemas Avanzados,0526-5975-4359-8244,Jason,Harrison,"405 Neal Springs Suite 269
Monicaton, ND 19735",williamday@example.com,1978-11-23,45,Azuay,Masculino,Marca no conocida,38000
0185478510,2004-04-26,Arquitecto/a,Soluciones Integrales,0404-0848-0559-6719,Stacy,Cook,"332 Jill Key Apt. 764
Mitchellview, GU 98285",elizabeth11@example.org,1989-07-09,34,Azuay,Femenino,Marca no conocida,27000
0188178102,2005-10-03,Doctor/a,Soluciones Integrales,0347-0168-8231-4421,Whitney,Brown,"91825 Foster Well
East Paulafort, WY 49502",kfox@example.net,1989-08-31,34,Azuay,Masculino,Marca no conocida,37000
0189665193,2006-01-11,Licenciado/a,Sistemas Avanzados,8949-3178-2261-4223,Marisa,Thompson,"04579 Patricia Plains Suite 851
Harryfort, IA 74513",barrycarter@example.net,1973-10-22,50,Azuay,Femenino,Marca no conocida,24000
0189832503,1964-12-28,Ingeniero/a,Grupo TecnolÃ³gico,0728-2757-8588-2364,Amanda,Collins,"583 Harris Path Suite 610
Kimberlybury, RI 78030",tschwartz@example.com,1990-10-02,33,Azuay,Femenino,Marca no conocida,32000
0190895473,1997-11-30,Ingeniero/a,Soluciones Integrales,2514-1664-3135-7946,Robin,Robinson,"14114 Johnny Field Suite 070
Farrellshire, FM 23728",ssanchez@example.org,1972-02-06,52,Azuay,Masculino,Marca no conocida,34000
0192657363,2005-09-18,Licenciado/a,Desarrollos Innovadores,9117-0634-8443-7769,John,Roberts,"044 Cynthia Coves Suite 778
West Kellyport, KS 10113",jeremybishop@example.net,1978-07-03,45,Azuay,Masculino,Marca no conocida,23000
0201150232,1968-02-05,Licenciado/a,Soluciones Integrales,1425-8715-1358-6077,Emily,Patel,"8824 Thomas Oval
Thomasbury, PW 94718",aprilwebb@example.net,1987-08-09,36,Bolivar,Femenino,Marca no conocida,20000
0201500544,2020-03-25,Arquitecto/a,Sistemas Avanzados,3906-9149-0281-5865,Justin,Anderson,"9205 Nancy Corners
South Philip, TX 85336",egarcia@example.com,1987-03-22,37,Bolivar,Masculino,Marca no conocida,25000
0204067177,2004-03-15,Arquitecto/a,Grupo TecnolÃ³gico,6550-8563-1002-1706,Angela,James,"64725 Long Dale Apt. 460
Lake Josephview, VI 02057",jonhouse@example.org,1984-09-23,39,Bolivar,Femenino,Discover,30000
0205706370,1999-12-11,Ingeniero/a,Soluciones Integrales,7336-6194-1155-8561,Russell,Taylor,"6366 Randall Junctions Apt. 699
Port Justin, MD 79674",ashleystrong@example.org,1977-02-05,47,Bolivar,Masculino,Marca no conocida,32000
0206940878,1983-02-04,Ingeniero/a,Desarrollos Innovadores,6992-2222-0776-6869,Jennifer,Hancock,"62812 Houston Corners Suite 225
West Jonathanborough, MA 53671",arnolddavid@example.com,1973-04-07,51,Bolivar,Femenino,Marca no conocida,30000
0209180327,1983-04-06,Arquitecto/a,Desarrollos Innovadores,2874-0132-2054-6227,Connor,Campbell,"950 Joshua Highway
Port Kimberly, OH 83208",ryan86@example.org,1990-09-20,33,Bolivar,Masculino,Marca no conocida,26000
0209694152,1972-07-15,Doctor/a,Desarrollos Innovadores,1407-0017-8240-9608,Scott,Franklin,"06528 Whitney Crossroad
West Micheletown, MS 19034",melissa62@example.net,1980-09-19,43,Bolivar,Masculino,Marca no conocida,47000
0211955332,1970-08-07,Arquitecto/a,Soluciones Integrales,5295-9807-5356-5172,Brittany,Bray,"88427 Adams Loop Suite 942
Patriciashire, MN 44710",pearsondawn@example.com,1977-09-01,46,Bolivar,Femenino,MasterCard,30000
0212153433,1962-07-09,Arquitecto/a,Sistemas Avanzados,7843-1409-4890-8361,Mary,Reed,"3719 Richard View
Floresfort, CO 26247",qharrington@example.com,1974-08-26,49,Bolivar,Femenino,Marca no conocida,28000
0220752560,1965-02-25,Arquitecto/a,Grupo TecnolÃ³gico,8648-2797-4140-7731,William,Jones,"53592 Johnson Walks Suite 166
South Nicoleport, OR 78999",olivernathan@example.org,1982-05-26,41,Bolivar,Masculino,Marca no conocida,29000
0222867532,1987-01-18,Licenciado/a,Soluciones Integrales,6555-3663-8014-8195,Jason,Anderson,"64038 Robert Shoal Suite 782
New Jason, NC 99683",blake87@example.net,1981-04-04,43,Bolivar,Masculino,Discover,24000
0223561696,1999-08-08,Arquitecto/a,Soluciones Integrales,7897-0936-2453-4532,Monica,Rodriguez,"USCGC Duran
FPO AA 20809",courtneyjones@example.net,1988-08-05,35,Bolivar,Femenino,Marca no conocida,26000
0223996274,2006-10-06,Doctor/a,Grupo TecnolÃ³gico,4085-8361-4580-4612,Jack,Terry,"2675 James Stravenue
East Sarah, SD 59219",hhall@example.net,1971-02-26,53,Bolivar,Masculino,Visa,43000
0226016137,1967-12-09,Ingeniero/a,Sistemas Avanzados,2574-3970-2634-8302,Travis,Lee,"74316 Hodge Burg
Gonzalesport, CA 95250",grangel@example.org,1985-12-17,38,Bolivar,Masculino,Marca no conocida,33000
0226390327,1980-06-09,Arquitecto/a,Sistemas Avanzados,7988-6205-2352-5099,Michelle,Lewis,"387 John Crossroad Suite 256
Port Robertstad, KS 41189",harold31@example.com,1983-04-02,41,Bolivar,Femenino,Marca no conocida,27000
0227650698,1981-11-12,Arquitecto/a,Soluciones Integrales,6288-8045-3191-8644,Joe,Williams,"PSC 6212, Box 4443
APO AE 23909",jessicawatkins@example.org,1970-05-05,54,Bolivar,Masculino,Marca no conocida,26000
0227924485,2006-05-09,Doctor/a,Desarrollos Innovadores,0186-5153-3144-0129,Margaret,Santos,"133 Harrison Village Suite 471
Lake Samantha, WY 68813",fostertyler@example.org,1980-10-30,43,Bolivar,Femenino,Marca no conocida,45000
0233786455,2011-08-23,Ingeniero/a,Sistemas Avanzados,6219-1294-4132-7379,Cynthia,White,"2008 Christopher Pine Apt. 495
South Jacqueline, WI 26534",brandon37@example.org,1990-06-25,33,Bolivar,Femenino,Marca no conocida,33000
0235203969,2009-06-17,Licenciado/a,Soluciones Integrales,6709-1812-2311-3340,Larry,Rocha,"1763 Andrew Corner Suite 497
Jesseside, SC 69352",emmawright@example.net,1986-10-03,37,Bolivar,Masculino,Marca no conocida,24000
0248184263,1997-12-16,Doctor/a,Soluciones Integrales,1538-7569-5581-5680,Manuel,Phillips,"81148 Charles Land
South Shellyfurt, NV 61134",adam95@example.com,1988-07-10,35,Bolivar,Masculino,Marca no conocida,59000
0250084641,2010-02-12,Arquitecto/a,Desarrollos Innovadores,7772-2439-9831-8468,Cory,Davidson,"07885 Samuel Spurs Suite 993
Port Sarastad, ID 67168",annacasey@example.com,1986-03-15,38,Bolivar,Masculino,Marca no conocida,30000
0250673869,2007-12-13,Licenciado/a,Soluciones Integrales,8496-0741-2276-3971,Alyssa,Luna,"4766 Bentley Hollow
North Brian, MT 18192",melissa87@example.net,1989-06-20,34,Bolivar,Femenino,Marca no conocida,22000
0251395849,2017-04-09,Licenciado/a,Grupo TecnolÃ³gico,3342-7779-4833-8765,Daniel,Johnson,"410 Thomas Throughway
Bradfordbury, MT 03993",richard72@example.net,1975-01-30,49,Bolivar,Masculino,Marca no conocida,22000
0252325186,1993-02-24,Doctor/a,Grupo TecnolÃ³gico,1695-6312-3021-0229,Danielle,Bell,"5585 Miller Passage Apt. 408
Lake Stephaniestad, IL 45223",kyleoliver@example.org,1980-02-29,44,Bolivar,Femenino,Marca no conocida,37000
0255191709,1989-04-13,Licenciado/a,Desarrollos Innovadores,8363-2829-0832-7173,Brittany,Sanders,"592 Christina Meadows Apt. 652
Port Martinshire, CA 61945",kristijackson@example.net,1990-12-17,33,Bolivar,Femenino,Marca no conocida,24000
0256757504,1969-05-12,Ingeniero/a,Soluciones Integrales,6541-9251-8469-4410,Anna,Black,"266 Pope Fort
Lake Christopher, RI 94567",nparks@example.net,1977-09-15,46,Bolivar,Femenino,Discover,35000
0257869555,1971-08-07,Ingeniero/a,Grupo TecnolÃ³gico,1715-2226-8872-5014,Kevin,Bennett,"437 Elizabeth Row
Whiteside, PR 71828",uwilliams@example.org,1980-01-18,44,Bolivar,Masculino,Marca no conocida,32000
0262268338,1971-10-19,Licenciado/a,Soluciones Integrales,0062-6539-6972-2978,Tony,Boyd,"36493 Anderson Passage
Woodshaven, VA 25368",leslie76@example.com,1990-06-11,33,Bolivar,Masculino,Marca no conocida,23000
0265168252,1996-05-15,Ingeniero/a,Grupo TecnolÃ³gico,9739-3420-5176-7325,Brenda,Zuniga,"248 Williams Knoll Apt. 201
Calebton, MO 53914",danielweber@example.net,1971-09-07,52,Bolivar,Femenino,Marca no conocida,33000
0266552568,1979-07-18,Licenciado/a,Grupo TecnolÃ³gico,0367-0984-9909-2242,Matthew,Jones,"71179 Lindsay Falls
East Danielleburgh, ID 93851",gsmith@example.org,1982-02-05,42,Bolivar,Masculino,Marca no conocida,25000
0270753244,1964-09-05,Doctor/a,Grupo TecnolÃ³gico,2182-9597-4040-9525,Gregory,Estrada,"296 Frances Corner Suite 528
Kellyfort, IL 30313",connormathews@example.com,1974-09-08,49,Bolivar,Masculino,Marca no conocida,43000
0270833726,1965-06-13,Arquitecto/a,Desarrollos Innovadores,2727-5520-9107-1202,Stephanie,Gardner,"43507 Barry Valley
Brianborough, DC 66360",thenry@example.net,1974-02-22,50,Bolivar,Femenino,Marca no conocida,28000
0271766949,1995-05-19,Licenciado/a,Soluciones Integrales,4638-4503-8496-5108,Mark,Ellis,"224 Wanda Stravenue
Lake Stevemouth, UT 11446",jennifer21@example.net,1975-07-09,48,Bolivar,Masculino,Visa,21000
0275141949,2003-03-30,Arquitecto/a,Soluciones Integrales,4941-0176-0417-7531,Andrea,Smith,"594 Karen Manor Suite 715
Annaside, UT 11970",lauralogan@example.com,1977-08-19,46,Bolivar,Femenino,Visa,30000
0275691829,2020-05-04,Ingeniero/a,Grupo TecnolÃ³gico,3434-9388-0846-8425,Cassandra,Stevenson,"598 Andrew Underpass
Lake Lisa, DE 65752",milleranthony@example.net,1979-07-28,44,Bolivar,Femenino,Marca no conocida,32000
0278386860,1963-04-11,Licenciado/a,Grupo TecnolÃ³gico,2283-8170-6905-7315,Jamie,Campos,"428 Sanchez Junction
Robertstad, AK 38335",fbailey@example.com,1977-01-11,47,Bolivar,Femenino,Marca no conocida,20000
0281610442,1965-04-16,Licenciado/a,Grupo TecnolÃ³gico,9120-0283-0916-5840,Joseph,Wallace,"04350 Burch Heights
Lake Amber, KS 31522",staylor@example.net,1977-08-09,46,Bolivar,Masculino,Marca no conocida,25000
0281909525,1974-12-11,Arquitecto/a,Sistemas Avanzados,4627-0654-0537-9847,Joanna,Lee,"995 Martin Locks Suite 594
Fieldshaven, PA 85776",nathan38@example.net,1976-05-28,47,Bolivar,Femenino,Visa,29000
0282433625,1973-10-18,Licenciado/a,Sistemas Avanzados,0998-6518-7935-6095,Billy,Keller,"61825 Hunt Tunnel
Lake Lorraineside, AS 61328",julie34@example.com,1976-02-12,48,Bolivar,Masculino,Marca no conocida,22000
0282865458,2004-07-24,Licenciado/a,Grupo TecnolÃ³gico,8914-5097-8972-7765,Edward,Pearson,"2821 Dennis Unions
Vasquezburgh, VA 61439",hickmanjacqueline@example.org,1973-04-24,51,Bolivar,Masculino,Marca no conocida,24000
0284109651,1989-02-25,Doctor/a,Sistemas Avanzados,4301-5566-0384-9611,Sydney,Robinson,"340 Melissa Parkways Suite 914
Lake Roberttown, MD 11003",nielsenanthony@example.net,1982-01-06,42,Bolivar,Masculino,Visa,40000
0284952269,1979-04-09,Doctor/a,Sistemas Avanzados,8465-7534-0289-1454,Karen,Edwards,"24588 Conner Meadow Suite 355
Petersonfort, WY 15335",mconrad@example.net,1989-07-28,34,Bolivar,Femenino,Marca no conocida,57000
0291854532,2019-11-01,Arquitecto/a,Soluciones Integrales,4061-9628-3122-7509,Kayla,Flores,"56562 Amy Lakes
East Richard, IA 65059",rebekahcunningham@example.net,1982-06-17,41,Bolivar,Femenino,Visa,29000
0292706699,1971-08-20,Ingeniero/a,Grupo TecnolÃ³gico,8462-1621-1152-5107,Nancy,Barnes,"640 Williams Ranch Suite 818
Woodschester, VI 16073",escott@example.com,1970-04-13,54,Bolivar,Femenino,Marca no conocida,33000
0294330739,1973-12-27,Arquitecto/a,Sistemas Avanzados,9435-5250-8026-7364,Amy,Whitehead,"891 Chandler Walk
Port Kayla, MT 63459",kelly20@example.net,1986-12-15,37,Bolivar,Femenino,Marca no conocida,29000
0295806402,1970-10-03,Ingeniero/a,Soluciones Integrales,0144-3558-2645-6728,Melissa,Young,"PSC 3474, Box 5823
APO AE 67972",samanthawest@example.org,1980-06-09,43,Bolivar,Femenino,Marca no conocida,33000
0299986292,2014-07-06,Arquitecto/a,Soluciones Integrales,5020-6698-6763-0847,Joshua,Williams,"79445 Timothy Tunnel Suite 355
Sextonport, PR 69624",brandonwilliams@example.org,1983-12-27,40,Bolivar,Masculino,Marca no conocida,28000
0310253522,1972-07-30,Arquitecto/a,Soluciones Integrales,5397-8310-8321-4337,Tara,Ross,"266 Norris Path Apt. 012
New Jonathanton, GA 47270",robertslauren@example.org,1976-06-18,47,Cañar,Femenino,MasterCard,29000
0311552834,1985-11-29,Doctor/a,Desarrollos Innovadores,6257-9337-3233-9029,Jasmin,Fuller,"5109 Olson Park
Taylorchester, MI 42167",johnsonmary@example.org,1987-02-21,37,Cañar,Femenino,Marca no conocida,55000
0312120570,1998-10-21,Licenciado/a,Desarrollos Innovadores,3450-2002-5662-9539,Sarah,Brooks,"94185 Wagner Grove
South Darrylhaven, AR 72370",gilbertgrimes@example.org,1989-03-22,35,Cañar,Femenino,Marca no conocida,22000
0312197385,1999-04-18,Doctor/a,Grupo TecnolÃ³gico,4392-7436-0346-2492,Heather,Day,"655 Gallagher Pike Apt. 616
Lewisside, MO 34832",eortega@example.net,1978-04-30,46,Cañar,Femenino,Visa,56000
0312306356,1982-04-07,Arquitecto/a,Soluciones Integrales,6645-0822-0498-8472,Holly,Gilbert,"32238 Neal Summit Suite 606
Jamesmouth, NM 97482",williamallen@example.org,1971-08-26,52,Cañar,Femenino,Marca no conocida,29000
0313859616,2020-07-14,Ingeniero/a,Sistemas Avanzados,1287-3439-9775-6372,Amanda,Mitchell,"221 Brian Roads
Lake Jeffreyfurt, NV 65466",vparks@example.net,1981-10-17,42,Cañar,Femenino,Marca no conocida,34000
0316320292,1994-06-30,Arquitecto/a,Grupo TecnolÃ³gico,7161-4496-9836-7742,Thomas,Fitzgerald,"107 White Garden Suite 693
West Clairefort, MT 43916",shannontucker@example.net,1988-01-06,36,Cañar,Masculino,Marca no conocida,27000
0316811919,1969-12-15,Ingeniero/a,Desarrollos Innovadores,8362-0054-5214-6986,Todd,Watson,"812 Jackson Plains
South Christopher, ID 15914",fostermichael@example.com,1974-06-25,49,Cañar,Masculino,Marca no conocida,34000
0317697344,2007-07-29,Licenciado/a,Sistemas Avanzados,1466-4885-1426-3756,Katie,Byrd,"191 Lopez Cliffs Suite 879
West Sabrina, UT 98217",christopher58@example.net,1971-11-10,52,Cañar,Femenino,Marca no conocida,24000
0317758671,1982-05-06,Doctor/a,Sistemas Avanzados,2559-7916-2443-9374,Ashley,Odom,"344 Tina Falls Apt. 218
Lake Keithport, ME 70484",lesliewilliams@example.org,1977-06-05,46,Cañar,Femenino,Marca no conocida,50000
0319307751,1970-01-12,Ingeniero/a,Soluciones Integrales,5592-8680-4874-0618,Breanna,Schneider,"030 Caleb Unions Apt. 745
Lake Mark, MS 34871",beckerdavid@example.com,1974-02-12,50,Cañar,Femenino,MasterCard,32000
0322890680,2012-11-06,Licenciado/a,Desarrollos Innovadores,3459-5095-7928-7882,Rebecca,Brown,"602 Jessica Prairie Apt. 360
East Steveborough, ID 72746",burnsolivia@example.net,1978-06-10,45,Cañar,Femenino,Marca no conocida,22000
0324840666,2006-11-20,Arquitecto/a,Sistemas Avanzados,9415-6702-8273-1590,Daniel,Miranda,"61112 Justin Way
Alexisshire, OR 05404",tyler42@example.org,1986-04-28,38,Cañar,Masculino,Marca no conocida,28000
0326308962,2005-08-10,Licenciado/a,Soluciones Integrales,9829-5613-7093-5384,Brianna,Hayden,"8809 Patrick Street Apt. 334
Port Jennifer, WA 85898",josephford@example.net,1970-11-09,53,Cañar,Femenino,Marca no conocida,21000
0328303960,1970-05-06,Licenciado/a,Soluciones Integrales,3784-7058-1085-7788,Pamela,Martinez,"511 Dominguez Orchard
East Anna, MO 61249",sharon97@example.org,1971-07-21,52,Cañar,Femenino,Marca no conocida,24000
0333596378,1967-10-06,Ingeniero/a,Grupo TecnolÃ³gico,9965-7573-2753-3496,James,Jones,"03018 Gray Court Suite 203
Moralesberg, NH 35456",breannagates@example.org,1982-12-14,41,Cañar,Masculino,Marca no conocida,33000
0335816048,2014-03-01,Ingeniero/a,Desarrollos Innovadores,9263-9247-2241-2002,Lawrence,Lewis,"580 Maxwell Spurs
Georgeborough, WI 84025",farleymichael@example.org,1988-12-09,35,Cañar,Masculino,Marca no conocida,34000
0340691182,1962-04-13,Ingeniero/a,Sistemas Avanzados,8960-9390-2834-8860,Thomas,Johnson,"039 Stacy Throughway
Smithview, SD 10862",samanthamitchell@example.org,1985-10-14,38,Cañar,Masculino,Marca no conocida,32000
0341436052,1961-09-23,Ingeniero/a,Soluciones Integrales,6622-8666-1364-3801,Paul,Wheeler,"49720 Gail Manor Suite 749
West Amanda, AK 87744",barrettrenee@example.net,1982-11-29,41,Cañar,Masculino,Marca no conocida,35000
0342322030,1999-11-11,Ingeniero/a,Grupo TecnolÃ³gico,0394-6114-8883-7083,Jared,Little,"239 Daniel Overpass Suite 252
Suttonport, IN 52404",nathanielgreen@example.org,1970-06-30,53,Cañar,Masculino,Marca no conocida,33000
0347568914,1962-02-10,Doctor/a,Soluciones Integrales,1012-6725-5677-7408,Kayla,Scott,"1848 Justin Estate Suite 696
Floydmouth, WA 98886",hwallace@example.net,1982-07-11,41,Cañar,Femenino,Marca no conocida,49000
0352134792,1999-02-03,Licenciado/a,Grupo TecnolÃ³gico,3450-9302-4398-2452,Tamara,Lewis,"86680 Paul Forest
Collinston, AL 06784",phillipsmatthew@example.com,1975-02-03,49,Cañar,Femenino,Marca no conocida,20000
0360878092,2003-12-10,Ingeniero/a,Soluciones Integrales,8128-1405-0872-2804,Lisa,Acevedo,"2596 Jennifer Oval
Stephanieton, MI 88393",russellsteven@example.org,1980-10-21,43,Cañar,Femenino,Marca no conocida,34000
