cedula,fechaingresoEmpresa,tituloTercerNivel,nombreEmpresa,numeroTarjetaCredito,nombre,apellido,direccion,correo_electronico,fecha_nacimiento,edad,provinciaNacimiento,genero,marca_tarjetaCredito,ingresoAnual
0284109651,1989-02-25,Doctor/a,Sistemas Avanzados,4301-5566-0384-9611,Tina,Thomas,"11936 Gonzalez Ports Suite 678
Morrisberg, AL 30879",perezdavid@example.org,1972-06-04,51,Bolivar,Femenino,Visa,45000
0649064307,1994-05-31,Doctor/a,Desarrollos Innovadores,6633-7420-3653-9979,Jennifer,Hicks,"598 Morris Isle
Carlosland, PW 43535",michealmeyer@example.org,1975-12-11,48,Chimborazo,Femenino,Marca no conocida,38000
0575775991,1962-01-19,Ingeniero/a,Soluciones Integrales,9076-1044-8555-9621,Joe,Morgan,"845 Mercado Mill
Stefaniebury, AZ 98225",charleshickman@example.org,1988-02-01,36,Cotopaxi,Masculino,Marca no conocida,31000
2084687274,2000-02-13,Licenciado/a,Sistemas Avanzados,0899-4369-5719-8671,Oscar,Ramsey,"30208 Roy Ramp
West Rita, VT 58956",nicholemartin@example.com,1970-05-29,53,Galápagos,Masculino,Marca no conocida,23000
0381833004,2017-01-26,Ingeniero/a,Desarrollos Innovadores,4350-4201-1318-4672,Timothy,Smith,"143 Clark Oval Apt. 563
Lake Rachael, GU 17603",steven92@example.net,1983-07-26,40,Cañar,Masculino,Visa,30000
2073042401,1960-07-13,Licenciado/a,Sistemas Avanzados,8675-9062-9941-8841,Holly,Collins,"233 Carrie Plains Apt. 446
Marychester, PW 04078",donald87@example.org,1980-11-25,43,Galápagos,Femenino,Marca no conocida,25000
2112075278,2007-12-26,Licenciado/a,Sistemas Avanzados,1831-1601-0937-9907,Amanda,Brennan,"6123 Wilson Corner
Shannonhaven, CT 81352",kristinmccall@example.com,1972-09-13,51,Sucumbíos,Femenino,Marca no conocida,23000
1284882312,1960-11-11,Licenciado/a,Sistemas Avanzados,6318-0236-8856-3373,Jason,Schmidt,"15306 Mueller Vista
Mendozamouth, WI 06547",michael83@example.net,1976-03-21,48,Los Ríos,Masculino,Marca no conocida,25000
3045473265,1989-05-24,Licenciado/a,Grupo Tecnológico,4375-9197-9431-0727,Patricia,Patterson,"62249 Shaw Creek Suite 997
North Wendy, GA 31539",sylvia76@example.com,1987-04-06,37,Fuera del país,Femenino,Visa,23000
0985655011,1984-10-04,Doctor/a,Sistemas Avanzados,6432-1839-8657-1903,Anthony,Mills,"027 Molly Cliffs
North Paul, TN 73896",michaelfarrell@example.org,1986-04-27,38,Guayas,Masculino,Marca no conocida,56000
0226390327,1980-06-09,Arquitecto/a,Sistemas Avanzados,7988-6205-2352-5099,Heather,Mays,"02193 Andrews Bridge Suite 919
Blackview, RI 14999",jessicafuller@example.net,1975-09-27,48,Bolivar,Femenino,Marca no conocida,25000
2044614983,1992-02-26,Ingeniero/a,Soluciones Integrales,5785-2741-5756-2394,Eric,Alexander,"1541 Fernandez Rue
Calderonview, NC 59588",penakrista@example.com,1985-04-20,39,Galápagos,Masculino,Marca no conocida,33000
1823320557,1988-11-17,Arquitecto/a,Desarrollos Innovadores,5402-8177-6946-3532,Kevin,Moore,"6909 Ramos Lodge Suite 554
Brentville, KY 60328",rmills@example.org,1978-05-11,46,Tungurahua,Masculino,MasterCard,26000
1420900695,2019-01-24,Doctor/a,Sistemas Avanzados,6986-3203-2315-3152,Connie,Mitchell,"0475 Howard Plains Suite 709
Quinnton, HI 99710",ucontreras@example.net,1981-03-01,43,Morona Santiago,Femenino,Marca no conocida,54000
1896419197,1963-10-30,Doctor/a,Soluciones Integrales,6157-8379-8423-2739,Taylor,Nelson,"9697 Mcclure Freeway Apt. 874
Jodyberg, WV 28549",taylorandrea@example.net,1989-02-13,35,Tungurahua,Masculino,Marca no conocida,37000
1383075503,2001-10-23,Arquitecto/a,Soluciones Integrales,6769-6841-5711-8791,Jerry,Whitney,"9202 Patricia Freeway Suite 933
Palmerton, WA 26140",travisandrews@example.com,1980-03-13,44,Manabí,Masculino,Marca no conocida,26000
0365451618,1999-10-04,Doctor/a,Grupo Tecnológico,2985-6423-4981-3658,Aimee,Boyd,"248 Donovan Oval
Howellbury, AK 90644",micheal99@example.com,1977-03-05,47,Cañar,Femenino,Marca no conocida,58000
1302778770,1990-09-06,Arquitecto/a,Desarrollos Innovadores,5120-2916-6611-3415,Daniel,Flores,"4807 Matthew Harbors Apt. 460
New Donald, NY 73145",sberry@example.net,1970-12-27,53,Manabí,Masculino,MasterCard,28000
1719297554,1996-11-29,Ingeniero/a,Grupo Tecnológico,4003-0682-0747-4843,Jennifer,Johnson,"Unit 8529 Box 7765
DPO AE 74174",salazaraudrey@example.com,1982-05-03,42,Pichincha,Femenino,Visa,33000
1767061024,1962-08-30,Doctor/a,Sistemas Avanzados,7817-0488-2370-9917,Dennis,Johnson,"USNS Clark
FPO AP 88376",michaeltaylor@example.com,1990-04-07,34,Pichincha,Masculino,Marca no conocida,53000
2200465664,2000-07-18,Ingeniero/a,Desarrollos Innovadores,2815-4218-0551-9381,Mary,Jenkins,"81171 Allison View
South Tiffanybury, TN 00973",wmiller@example.net,1985-10-02,38,Orellana,Femenino,Marca no conocida,33000
1366433513,1994-01-04,Arquitecto/a,Grupo Tecnológico,8605-0673-2201-3763,Ryan,Decker,"28781 Roberts Summit Apt. 210
Lake Sara, MH 32979",alanperry@example.net,1975-10-08,48,Manabí,Masculino,Marca no conocida,28000
0410779758,1965-02-02,Ingeniero/a,Grupo Tecnológico,4040-8252-9351-5146,Tamara,Huff,"23149 Bell Valley
East Shawnland, DC 63309",fblack@example.net,1981-10-25,42,Carchi,Femenino,Visa,33000
1155944026,1971-07-19,Licenciado/a,Desarrollos Innovadores,5574-8279-2388-3562,Amber,Rhodes,"8050 Smith Shoal Apt. 642
Brentside, AL 68544",ericksondaniel@example.net,1990-11-20,33,Loja,Femenino,MasterCard,24000
1213964755,1982-09-17,Ingeniero/a,Sistemas Avanzados,1924-4703-4739-0488,Ashley,Morris,"093 Gallagher Trail Suite 929
West Andrewmouth, IL 83577",jeremypowell@example.net,1979-10-19,44,Los Ríos,Femenino,Marca no conocida,33000
1581459651,1966-01-20,Arquitecto/a,Soluciones Integrales,1510-9711-6682-4184,Sharon,Bonilla,"85097 Daniel Port
West James, MH 43341",cburns@example.org,1990-04-19,34,Napo,Femenino,Marca no conocida,27000
0824727895,1976-01-08,Doctor/a,Sistemas Avanzados,9825-5073-1788-6230,Misty,Evans,"52266 Carlson Via Apt. 529
Sandershaven, WV 18584",evelynbrown@example.net,1973-03-17,51,Esmeraldas,Femenino,Marca no conocida,42000
2427269279,1979-08-25,Licenciado/a,Sistemas Avanzados,2286-1193-1113-2791,Andrew,Jimenez,"47643 Moore Shoals Suite 613
Lake Jeffreychester, MI 77577",jacksondavid@example.org,1983-07-06,40,Santa Elena,Masculino,Marca no conocida,21000
3087939190,2000-12-31,Ingeniero/a,Soluciones Integrales,7532-4236-9934-4505,William,Francis,"210 Dennis Shore
New Brian, PR 80906",rfox@example.org,1972-03-02,52,Fuera del país,Masculino,Marca no conocida,35000
0192657363,2005-09-18,Licenciado/a,Desarrollos Innovadores,9117-0634-8443-7769,Rachel,Gregory,"66186 Williams Light
East Laurenchester, WV 20690",pmunoz@example.org,1987-01-10,37,Azuay,Femenino,Marca no conocida,24000
0938364023,1985-04-18,Doctor/a,Grupo Tecnológico,6352-6382-7092-7481,Robert,Pennington,"6787 Christopher River Suite 183
Warnerport, CA 28944",zolson@example.com,1981-11-28,42,Guayas,Masculino,Marca no conocida,52000
2092379169,1964-10-13,Arquitecto/a,Desarrollos Innovadores,9632-8602-9585-9900,Todd,Lewis,"USNS Carter
FPO AP 93652",davistodd@example.com,1982-03-06,42,Galápagos,Masculino,Marca no conocida,27000
1201564328,2014-10-26,Ingeniero/a,Grupo Tecnológico,9161-1427-9918-5123,Daniel,Baldwin,"142 Ricky Ferry Suite 153
Port Brittneyside, MA 31980",meganhall@example.com,1988-12-27,35,Los Ríos,Masculino,Marca no conocida,35000
3006168013,1986-03-02,Arquitecto/a,Sistemas Avanzados,7926-8393-0473-1848,Christopher,Moran,"PSC 5316, Box 7126
APO AE 44846",ofrazier@example.org,1986-01-20,38,Fuera del país,Masculino,Marca no conocida,27000
1417001480,1978-01-12,Ingeniero/a,Sistemas Avanzados,2460-4533-0821-6536,Robert,Berg,"123 Jill Groves Apt. 390
Martinezbury, WV 09452",ryancollins@example.org,1983-08-09,40,Morona Santiago,Masculino,Marca no conocida,35000
1513576585,1963-06-22,Licenciado/a,Desarrollos Innovadores,1680-3139-9346-7870,David,Cohen,"3610 Patricia Circles Apt. 111
New Christopherfort, WY 86139",wileytimothy@example.com,1979-07-22,44,Napo,Masculino,Marca no conocida,25000
0333596378,1967-10-06,Ingeniero/a,Grupo Tecnológico,9965-7573-2753-3496,Tina,Howell,"330 Zuniga Track Apt. 302
Austinside, MS 95922",jennifersolis@example.net,1973-06-01,50,Cañar,Femenino,Marca no conocida,33000
0270833726,1965-06-13,Arquitecto/a,Desarrollos Innovadores,2727-5520-9107-1202,Johnny,Wheeler,"4616 Parker Mountain Apt. 071
Sarahport, WY 60562",christopher85@example.net,1970-03-14,54,Bolivar,Masculino,Marca no conocida,28000
2443668808,1971-06-08,Licenciado/a,Grupo Tecnológico,3240-1417-5944-1370,Julia,Hendricks,"Unit 0341 Box 9095
DPO AE 40859",wmiller@example.com,1988-01-11,36,Santa Elena,Femenino,Marca no conocida,20000
1129263196,1962-08-14,Doctor/a,Grupo Tecnológico,5103-6819-3697-5842,Jill,Medina,"8259 Thompson Highway Apt. 478
North Susan, AZ 22235",adam47@example.com,1971-12-06,52,Loja,Femenino,MasterCard,50000
0648871689,2009-05-17,Arquitecto/a,Sistemas Avanzados,3964-2277-5767-1585,Douglas,Young,"50079 Mccall Highway
Sawyertown, NE 75928",jhall@example.org,1973-07-11,50,Chimborazo,Masculino,Marca no conocida,26000
2226964591,2011-09-21,Doctor/a,Desarrollos Innovadores,4691-6710-2446-6937,Melissa,Winters,"69240 Pamela Street
Lake Zachary, NY 70955",richard99@example.net,1978-10-15,45,Orellana,Femenino,Visa,43000
0972817453,1961-12-24,Doctor/a,Sistemas Avanzados,1715-9292-6527-9438,Susan,Singh,"2930 Cody Lodge Suite 024
Shortfort, MH 45601",qbradley@example.net,1989-09-18,34,Guayas,Femenino,Marca no conocida,47000
1644478180,1989-12-07,Arquitecto/a,Grupo Tecnológico,3745-2926-1667-2023,Samantha,Martinez,"536 Colleen Viaduct Suite 287
East Timothy, MP 35536",mgonzalez@example.com,1985-12-13,38,Pastaza,Femenino,Marca no conocida,28000
2268150638,1997-01-08,Licenciado/a,Sistemas Avanzados,5448-5655-1233-1050,Tony,Myers,"74171 Jones Spring
North Elijahside, AK 89494",hgardner@example.com,1987-11-01,36,Orellana,Masculino,MasterCard,21000
1939894380,1998-05-02,Licenciado/a,Grupo Tecnológico,1352-5780-8266-8517,James,Torres,"514 Aaron Neck
Bridgesview, NJ 52152",smoreno@example.com,1988-11-09,35,Zamora Chinchipe,Masculino,Marca no conocida,23000
1865322923,1989-12-25,Ingeniero/a,Grupo Tecnológico,8415-9745-0593-3403,Jay,Young,"USNV Ramos
FPO AP 24225",paulschmidt@example.com,1980-08-14,43,Tungurahua,Masculino,Marca no conocida,31000
0108918856,1995-11-15,Doctor/a,Soluciones Integrales,8932-3972-4060-2887,Kimberly,Snow,"402 Garza Ports
Port Danview, TX 70925",taylorleonard@example.com,1983-08-12,40,Azuay,Femenino,Marca no conocida,52000
2033397189,1981-05-24,Ingeniero/a,Desarrollos Innovadores,2541-5967-5442-0699,Margaret,Woodward,"PSC 1923, Box 9293
APO AA 72468",kdavis@example.com,1986-06-25,37,Galápagos,Femenino,Marca no conocida,32000
0578866063,2014-12-24,Licenciado/a,Grupo Tecnológico,3776-4850-4673-4336,Matthew,Perkins,"098 Zoe Station Suite 331
Wilcoxburgh, RI 83706",heidi74@example.net,1987-06-16,36,Cotopaxi,Masculino,Marca no conocida,23000
1277718868,1990-11-23,Ingeniero/a,Grupo Tecnológico,2045-6716-0421-6286,Andrea,Miller,"922 Hernandez Avenue Suite 460
Crawfordhaven, FL 75078",mryan@example.org,1986-06-05,37,Los Ríos,Femenino,Marca no conocida,35000
1570619344,1989-04-30,Licenciado/a,Sistemas Avanzados,9996-7082-3178-1200,Christopher,Flores,"6927 Michael Mountain Suite 809
Craigtown, AK 46464",brittany25@example.net,1970-09-13,53,Napo,Masculino,Marca no conocida,22000
2489466890,1978-06-30,Doctor/a,Sistemas Avanzados,7556-2653-8187-0747,Diane,Johnson,"295 Cooper Corner Apt. 570
Brianside, IA 58978",bschultz@example.net,1987-04-23,37,Santa Elena,Femenino,Marca no conocida,47000
0938606844,1983-05-16,Licenciado/a,Grupo Tecnológico,5913-9759-0384-3136,Paul,Keller,"08787 Jo Wells
North Edwardchester, MP 88704",dana95@example.net,1978-05-12,46,Guayas,Masculino,Marca no conocida,24000
2433193669,1996-02-18,Ingeniero/a,Soluciones Integrales,3061-5407-9278-2125,James,Jarvis,"495 Brittany Via Suite 967
Gallowaybury, SD 45440",gibsonmary@example.com,1988-03-12,36,Santa Elena,Masculino,Marca no conocida,31000
1375178889,1998-06-21,Ingeniero/a,Grupo Tecnológico,1112-1654-4749-6963,Kimberly,Williams,"001 Michael Mills Suite 270
North Beckyview, IA 11510",joseph67@example.net,1989-07-20,34,Manabí,Femenino,Marca no conocida,34000
0455068712,1970-04-20,Doctor/a,Desarrollos Innovadores,3494-9834-1527-0223,Teresa,Roberts,"580 Clark Mountains
Andrewton, NJ 29512",rachelstevens@example.com,1971-07-30,52,Carchi,Femenino,Marca no conocida,51000
1451461903,1961-06-27,Ingeniero/a,Desarrollos Innovadores,8531-3531-1285-9991,Holly,Johnson,"6906 Hicks Mountains
Lake Kellyhaven, MN 23570",kimberly36@example.com,1975-04-03,49,Morona Santiago,Femenino,Marca no conocida,33000
2464851950,1975-05-25,Licenciado/a,Desarrollos Innovadores,9757-7280-3521-8207,Timothy,Cardenas,"8975 Wendy Spring
West Mark, VT 23071",melissa48@example.net,1975-05-01,49,Santa Elena,Masculino,Marca no conocida,21000
1836660007,1962-10-27,Licenciado/a,Sistemas Avanzados,6976-0075-9280-0690,Karen,Ross,"2486 James Haven Suite 093
Stevenberg, IN 99631",yking@example.com,1980-09-14,43,Tungurahua,Femenino,Marca no conocida,23000
1756873059,1971-08-10,Doctor/a,Grupo Tecnológico,0524-9008-8829-9762,Lauren,Jones,"616 Robert Junction
Lake Emilyland, AR 04118",hinesdavid@example.org,1979-11-24,44,Pichincha,Femenino,Marca no conocida,59000
2036187888,1984-07-30,Arquitecto/a,Soluciones Integrales,6708-4216-6358-1027,Joseph,Allen,"066 Erik Path
Port Bradleyburgh, LA 80152",maryflores@example.com,1975-11-21,48,Galápagos,Masculino,Marca no conocida,27000
1560791492,1978-12-11,Licenciado/a,Sistemas Avanzados,2655-6121-2086-3555,Benjamin,Shah,"37740 Theresa Estates
Gonzalezland, ID 28594",amy23@example.com,1974-05-07,50,Napo,Masculino,Marca no conocida,21000
1370325319,1967-05-22,Licenciado/a,Grupo Tecnológico,3964-9763-7258-9828,Dean,Alexander,"8731 Yates Lights Suite 576
Harrisport, VA 18824",williammcdonald@example.com,1988-01-05,36,Manabí,Masculino,Marca no conocida,21000
1815424892,1961-09-27,Arquitecto/a,Soluciones Integrales,7809-0666-9036-4279,Emily,Castillo,"4416 James Gardens
Laurenview, WA 62362",dcortez@example.org,1981-03-29,43,Tungurahua,Femenino,Marca no conocida,27000
0299986292,2014-07-06,Arquitecto/a,Soluciones Integrales,5020-6698-6763-0847,Melissa,Mason,"Unit 4245 Box 6768
DPO AE 67743",alexandriastuart@example.org,1989-05-18,35,Bolivar,Femenino,Marca no conocida,28000
2270272430,1989-12-14,Ingeniero/a,Desarrollos Innovadores,8155-7855-8553-1242,Andrew,Hernandez,"762 Clark Crescent Apt. 259
Ericville, ND 57291",timothybaldwin@example.net,1977-12-08,46,Orellana,Masculino,Marca no conocida,31000
0156539682,1993-07-07,Arquitecto/a,Soluciones Integrales,5851-1545-4031-1336,Alan,Brewer,"95484 Michael Locks Apt. 778
Lake Anita, GU 06622",ybrown@example.org,1976-08-31,47,Azuay,Masculino,Marca no conocida,28000
1892393115,1993-03-11,Arquitecto/a,Sistemas Avanzados,9065-0292-8266-8088,Jose,Allen,"7385 Elizabeth Spurs Apt. 844
North Theresachester, TN 27559",victorandrews@example.org,1972-10-25,51,Tungurahua,Masculino,Marca no conocida,27000
0610514929,2014-10-20,Licenciado/a,Sistemas Avanzados,0573-0555-4056-4373,Brandon,Anderson,"757 Patrick Spur Apt. 251
Jamesshire, HI 71171",edwardsjoanna@example.org,1976-04-28,48,Chimborazo,Masculino,Marca no conocida,24000
0814329843,1976-09-25,Arquitecto/a,Grupo Tecnológico,9086-3942-9306-0627,Brian,Rich,"27970 Melinda Circle Suite 887
New Christopherfurt, MH 62117",ujones@example.net,1980-03-14,44,Esmeraldas,Masculino,Marca no conocida,29000
1408529099,1962-03-30,Licenciado/a,Desarrollos Innovadores,5051-3033-2255-3262,Kimberly,Ferguson,"370 Ramirez Brooks
New Sandrahaven, WA 07069",joshua39@example.com,1976-09-17,47,Morona Santiago,Femenino,Marca no conocida,22000
0897298731,1967-02-10,Licenciado/a,Desarrollos Innovadores,9117-7542-0595-1874,Daniel,Finley,"Unit 2580 Box 3051
DPO AP 51255",matthew55@example.com,1978-09-27,45,Esmeraldas,Masculino,Marca no conocida,20000
0360878092,2003-12-10,Ingeniero/a,Soluciones Integrales,8128-1405-0872-2804,Patrick,Smith,"0986 Eric Harbor
Shawstad, MI 13040",daviesclayton@example.net,1984-10-31,39,Cañar,Masculino,Marca no conocida,32000
1591200737,1969-12-16,Licenciado/a,Grupo Tecnológico,6267-2636-6546-7039,Lauren,Elliott,"USNS Goodman
FPO AE 89720",mccartyjennifer@example.com,1989-05-01,35,Napo,Femenino,Marca no conocida,24000
0398518356,1963-10-25,Ingeniero/a,Grupo Tecnológico,9690-0829-7959-1305,Amanda,Flores,"290 Daniel Estates
Lake Christopher, CO 49227",walkerjessica@example.com,1988-07-06,35,Cañar,Femenino,Marca no conocida,33000
1771420305,1999-06-15,Arquitecto/a,Soluciones Integrales,4003-6477-6947-5842,Gloria,Ross,"4908 Thomas Greens
Donaldland, MI 62956",ayerssydney@example.org,1982-04-10,42,Pichincha,Femenino,Visa,27000
